id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,neighborhood
33241183,Charming bedroom in sunny Bernal Heights apt,1730886,Mohit,,Bernal Heights,37.74698,-122.4151,Private room,100,2,12,2020-03-01,0.69,1,178,Bernal Heights
33254247,Noe Valley Modern II,3191096,Viona,,Noe Valley,37.75327,-122.43276999999999,Private room,95,7,10,2020-08-06,0.58,4,69,Noe Valley
33256694,31A- Cozy Room near Glen Park BART fits 1 guest,219791143,Victor 2,,Outer Mission,37.73195,-122.42886999999999,Private room,57,1,58,2020-08-31,3.25,4,176,Outer Mission
33267971,"Serene Hayes Valley Studio w/ Rooftop, W/D, 1 min to BART by Blueground",107434423,Blueground,,Downtown/Civic Center,37.7748,-122.42057,Entire home/apt,125,30,0,,,182,310,Downtown/Civic Center
33268331,"Calm Hayes Valley Studio w/ Rooftop, W/D, 1 min to BART by Blueground",107434423,Blueground,,Downtown/Civic Center,37.7748,-122.42057,Entire home/apt,125,30,1,2020-06-30,0.31,182,338,Downtown/Civic Center
33269893,"Ideal Hayes Valley studio w/ Rooftop, W/D, 1 min to BART by Blueground",107434423,Blueground,,Downtown/Civic Center,37.7748,-122.42057,Entire home/apt,130,30,0,,,182,319,Downtown/Civic Center
33269979,"Open Hayes Valley Studio w/ Rooftop, W/D, 1 min to BART by Blueground",107434423,Blueground,,Downtown/Civic Center,37.7748,-122.42057,Entire home/apt,129,30,0,,,182,338,Downtown/Civic Center
33271309,2BR NoPa Sanctuary ⭐️ Jacuzzi ⭐️ Walk Everywhere,226685582,Dylan & Alex,,Haight Ashbury,37.77487,-122.45034,Entire home/apt,648,2,14,2020-01-15,0.75,2,0,Haight Ashbury
33275444,Bright Historic Victorian in Valencia with a cat,4464505,Yoriko,,Mission,37.75841,-122.42154,Entire home/apt,200,4,4,2019-08-15,0.23,1,0,Mission
33289179,** North Beach House - 3 Bed/2 Bath**,22913583,Trevor,,Russian Hill,37.79932,-122.40907,Entire home/apt,245,30,5,2020-07-31,0.36,2,193,Russian Hill
33292153,Lower Nob Hill,122884305,Rick,,Downtown/Civic Center,37.78918,-122.41425,Private room,100,3,37,2020-03-14,2.04,1,182,Downtown/Civic Center
33293217,Trinity Place - PARADISE,116932500,Joe C,,South of Market,37.77747,-122.41275,Entire home/apt,150,30,0,,,1,180,South of Market
33310899,Charming 1 BDRM Unit,2792397,Roby,,Mission,37.76355,-122.42572,Entire home/apt,90,30,15,2019-06-15,0.82,1,1,Mission
33311422,Recent Rehab in an Historic Mission Building,5298677,Stewart,,Mission,37.75294,-122.40781000000001,Entire home/apt,106,3,11,2020-02-23,0.64,1,0,Mission
33314499,Russian Hill Casita,4090172,Eddy,,Russian Hill,37.8002,-122.41904,Entire home/apt,110,90,0,,,1,299,Russian Hill
33316756,"SF Local Home - Clean, Quiet, Cozy - Fast WiFi",149155201,Esmeralda,,Inner Richmond,37.77897,-122.47631000000001,Private room,94,2,33,2020-08-25,2.1,3,221,Inner Richmond
33346622,Lovely Bedroom - Heart of the Mission District!,144308034,Henry,,Mission,37.75898,-122.41483999999998,Private room,120,1,30,2020-02-29,1.66,1,0,Mission
33364533,Potrero Hill Garden View Apartment,22123214,Margot,,Potrero Hill,37.7557,-122.40028000000001,Entire home/apt,180,30,3,2019-08-12,0.18,1,127,Potrero Hill
33368652,Deluxe Room 2 Queen Beds,251141990,April,,Pacific Heights,37.79487,-122.42371999999999,Hotel room,249,1,2,2019-07-07,0.12,5,0,Pacific Heights
33370186,Signature Suite 1 Bedroom (Spa) 1 King Bed,251141990,April,,Downtown/Civic Center,37.787259999999996,-122.41213,Hotel room,541,1,0,,,5,0,Downtown/Civic Center
